"","SNP.NAME"
"1",2
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",14
"13",15
"14",17
"15",18
"16",19
"17",20
"18",21
"19",24
"20",26
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",37
"31",38
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",50
"42",51
"43",52
"44",54
"45",56
"46",57
"47",58
"48",59
"49",60
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",70
"58",71
"59",73
"60",74
"61",75
"62",76
"63",77
"64",78
"65",79
"66",80
"67",81
"68",82
"69",83
"70",84
"71",85
"72",86
"73",87
"74",88
"75",89
"76",90
"77",91
"78",92
"79",93
"80",94
"81",95
"82",96
"83",97
"84",98
"85",99
"86",100
"87",101
"88",102
"89",103
"90",104
"91",105
"92",106
"93",107
"94",108
"95",109
"96",110
"97",111
"98",112
"99",113
"100",114
"101",115
"102",116
"103",117
"104",118
"105",119
"106",120
"107",121
"108",122
"109",123
"110",124
"111",126
"112",127
"113",129
"114",130
"115",131
"116",132
"117",133
"118",134
"119",135
"120",136
"121",137
"122",138
"123",139
"124",140
"125",141
"126",142
"127",143
"128",145
"129",146
"130",147
"131",148
"132",149
"133",150
"134",151
"135",152
"136",153
"137",154
"138",155
"139",156
"140",157
"141",158
"142",161
"143",162
"144",163
"145",164
"146",165
"147",166
"148",167
"149",168
"150",169
"151",170
"152",171
"153",173
"154",174
"155",175
"156",176
"157",177
"158",178
"159",180
"160",181
"161",183
"162",184
"163",185
"164",186
"165",187
"166",188
"167",189
"168",190
"169",191
"170",192
"171",193
"172",194
"173",195
"174",196
"175",197
"176",198
"177",199
"178",201
"179",202
"180",203
"181",204
"182",205
