"","SNP.NAME"
"1",3
"2",4
"3",7
"4",16
"5",17
"6",18
"7",19
"8",20
"9",25
"10",26
"11",27
"12",29
"13",34
"14",35
"15",42
"16",45
"17",46
"18",48
"19",55
"20",56
"21",62
"22",64
"23",65
"24",67
"25",69
"26",70
"27",71
"28",72
"29",74
"30",76
"31",85
"32",87
"33",88
"34",90
"35",91
"36",93
"37",94
"38",95
"39",96
"40",100
"41",101
"42",102
"43",103
"44",104
"45",105
"46",107
"47",109
"48",110
"49",115
"50",116
"51",117
"52",118
"53",121
"54",122
"55",124
"56",130
"57",141
"58",143
"59",144
"60",146
"61",147
"62",148
"63",149
"64",150
"65",151
"66",153
"67",154
"68",158
"69",169
"70",170
"71",174
"72",175
"73",176
"74",177
"75",178
"76",180
"77",181
"78",189
"79",191
"80",192
"81",194
"82",195
"83",196
"84",203
"85",204
"86",205
