"","SNP.NAME"
"1",1
"2",10
"3",11
"4",12
"5",13
"6",14
"7",15
"8",17
"9",20
"10",26
"11",28
"12",29
"13",32
"14",37
"15",39
"16",40
"17",41
"18",47
"19",49
"20",51
"21",55
"22",59
"23",60
"24",61
"25",62
"26",63
"27",66
"28",68
"29",72
"30",75
"31",77
"32",79
"33",93
"34",97
"35",98
"36",102
"37",108
"38",109
"39",113
"40",114
"41",125
"42",130
"43",134
"44",135
"45",137
"46",138
"47",139
"48",141
"49",143
"50",144
"51",145
"52",148
"53",150
"54",151
"55",153
"56",155
"57",156
"58",157
"59",161
"60",163
"61",165
"62",166
"63",169
"64",171
"65",172
"66",181
"67",182
"68",183
"69",184
"70",185
"71",187
"72",188
"73",189
"74",192
"75",200
"76",201
